迭代次数,区域0工作量,区域1工作量,区域2工作量,总工作量
1,11.931609,2.018753,0.000000,13.950361
2,7.917071,6.103292,0.000000,14.020363
3,6.584735,3.257891,3.377497,13.220124
4,6.584735,6.596932,0.982567,14.164234
5,11.160089,1.707448,0.982567,13.850103
6,9.639905,3.968471,0.000000,13.608375
7,12.543986,1.915763,0.000000,14.459749
8,11.505041,3.820626,0.000000,15.325667
9,16.353789,1.273254,0.000000,17.627043
10,9.827753,2.452946,1.782831,14.063531
11,11.073586,5.725143,0.000000,16.798729
12,11.427906,2.475624,0.000000,13.903530
13,11.931609,1.481570,0.996124,14.409303
14,6.150895,8.719958,0.000000,14.870853
15,10.816203,5.806681,0.000000,16.622884
16,11.073586,2.018753,3.435751,16.528090
17,12.917368,1.888729,0.000000,14.806097
18,12.255159,2.507129,0.000000,14.762287
19,11.160089,1.737629,0.875031,13.772749
20,11.350667,2.018753,6.700438,20.069858
21,14.925670,1.359698,0.000000,16.285368
22,10.816203,2.018753,4.037730,16.872685
23,8.604438,6.524125,0.000000,15.128563
24,5.386647,9.578498,0.000000,14.965145
25,7.336129,6.103292,6.700438,20.139860
