PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9
0,34480.8205705434,32092.6909684864,27320.5653616178,0.0000000000,27292.1441568235,16614.5218075168,16761.6510582859,18766.1642353716,12140.1980405827,30588.9667505984
1,34911.2101726918,31653.9817440414,26291.8980783518,0.0000000000,26652.0385229983,16024.3825926827,17539.0609580022,17762.8914898778,11877.9921145263,29636.2612454223
2,41202.0385963517,43517.0666975985,7469.0819948702,24150.8807958570,4114.7539848736,25696.3623286845,33469.7976394794,1497.1528301964,29414.4868175929,2956.2255778095
3,40607.0657469448,48252.0543574173,10284.0703970521,28666.5386433401,0.0000000000,30652.1690935714,34837.2064995035,5248.8580229675,34397.2557380733,1307.3932330338
4,86564.1619714663,0.0000000000,32405.6160878647,34339.7379449888,64281.7985484162,8361.7085460700,67190.9044628644,37111.1670712372,16014.4899600732,54607.8628530289
5,77270.2785067542,126.0566668286,20464.2179617251,27481.7936440747,52175.7891217512,0.0000000000,59414.2877063020,24943.5074090023,11910.5182708337,42238.5263154242
6,72800.4957698394,364.9909923389,20873.5849262637,22264.3909718713,49933.4291743931,0.0000000000,54492.4746998139,23267.5093952784,6898.6251380773,41213.1601412623
7,71099.6734261830,2803.6628746110,16606.6154010252,22424.8690978263,46260.3325915023,0.0000000000,53645.9978848235,19352.7864458214,8090.3248241744,37052.7351058890
8,67627.6151207482,5745.6500405556,14670.5136440645,19982.9257427602,42825.9843721779,0.0000000000,50494.9647968544,16211.6619363583,6863.3822342725,34067.3985206745
9,67772.1250013723,31713.4440581021,0.0000000000,36401.5067501263,28446.4832905100,23230.5586440484,56881.5531891792,9262.9494164680,31140.3384041323,13350.2952637846
10,54551.4137418734,29167.5321683858,0.0000000000,22457.7902565569,19387.8153178376,14453.5108751603,42596.3264162885,0.0000000000,20964.8570376293,9396.8724530317
11,23792.0987690519,49892.2943026467,47365.5842081172,19366.9902106121,38875.1497619238,35855.2610938960,0.0000000000,38536.6471896066,29888.9031576773,48323.6935937413
12,65695.3726458132,34537.8405890710,0.0000000000,36577.8938788845,25760.6468052156,24865.3795580624,55603.0745422775,8794.8770492854,32570.6243992002,10462.2567663066
13,40589.2275273067,37575.7224941061,7560.6949539756,17338.6216691105,10557.3939686205,19825.5617946253,30222.4116996751,0.0000000000,22786.8776446468,8264.8015740676
14,50843.4898185552,37453.6790360845,0.0000000000,26504.9644157862,12079.2983329620,21982.3598984881,41541.0887116308,0.0000000000,27760.0112463814,1347.2360057673
15,48974.7987541133,37958.3596511238,0.0000000000,25297.8027783303,10710.4484463790,21879.1208395271,39726.0823903350,0.0000000000,27279.0326582983,1083.8360355615
16,47612.5385824273,40820.2965480784,1800.8592688700,26861.2840687867,8154.2503232845,24529.6006110528,39338.0066849651,368.7612264741,29663.3290875632,0.0000000000
17,41132.2295541818,43659.7555466249,7586.5731821432,24248.3439305430,3972.8474863138,25835.7926941800,33455.5463548781,1589.3896366994,29543.6605615249,2923.1880965271
18,43449.4550058420,43665.7307747646,5824.2972792854,26204.6687712820,4175.0235403649,26423.5012850980,35995.4766651988,1555.7085192622,30695.4121456521,916.1006562239
19,42837.0397713237,46565.9672158517,8049.4996946089,28636.2796963940,2022.7392729711,29366.6632282119,36500.2867549952,3978.0721485264,33556.8807084024,0.0000000000
20,43049.7739471876,46599.6319129389,7990.9145205409,28828.9597110317,2170.1949307378,29451.7924112264,36735.4526779816,4054.6690002389,33686.2526425470,0.0000000000
21,41403.7804019449,46832.6687298419,8904.6596099046,27821.7041342918,994.0052321743,29321.9694680408,35099.2870990182,4021.8318618755,33211.0804952816,1064.8814127949
22,44121.6780422925,50539.0241011785,10918.1708842937,33286.1431782206,3014.4339013380,33774.8105900626,39282.3931667667,8219.7856147418,38194.7299349651,0.0000000000
23,40133.8408447179,51161.0636318408,12769.0657074968,31210.0342939127,0.0000000000,33599.8088300547,35505.3839916382,7962.7495963432,37279.5979014420,1708.9512832925
24,3320.4970488001,64248.1474930568,46323.6121296116,32025.4058536487,26886.6267459284,48127.5861667147,0.0000000000,38138.6261729212,44223.2714604451,42070.2973419316
25,49707.7126082293,55202.8132248662,13512.2805928475,40758.5991466035,9421.6035389710,39621.3598094648,46185.3081680152,14924.9572809435,44756.8437385720,0.0000000000
26,0.0000000000,71552.3447488797,52644.8447415174,39339.9208867366,31210.9961362017,55423.1839190280,0.0000000000,44301.6061358110,51491.4564681770,47132.0352159349
27,6581.5035365140,79250.9904538583,63988.2478326383,47316.9474841723,43375.1432143826,63630.3895500050,0.0000000000,55792.7615736284,58852.6394220095,59207.7329035591
28,0.0000000000,71889.6086645482,52120.6211291675,39710.8012923644,30187.2804707340,55681.4224242906,0.0000000000,43729.9680212549,51931.2668256757,46229.3295987916
29,0.0000000000,72014.6235977939,52292.1689591318,39832.3244517325,30364.0375289373,55811.9900745355,0.0000000000,43902.6055560831,52047.4945236443,46406.8794668220
30,0.0000000000,72667.2827102354,52574.7703037856,40503.5863018195,30360.9400219688,56437.1738864792,785.8038336980,44162.2870681990,52737.2909625545,46475.2870107578
31,25681.2798097212,62722.1715998053,29144.2283482432,36181.7400492052,3242.5279903497,45150.4883493054,23574.9859367454,21661.7303638072,46185.0506322918,18479.2374945789
32,21033.1892680996,65800.0277039747,34013.5226964249,37914.3754564614,7553.9413123003,48499.7646454070,19598.7728957673,26068.7453737814,48749.8839454731,23649.7474464642
33,19268.0172309250,66325.7743036269,35368.8143477835,37993.4724061338,8896.1357286315,49153.3188556124,17980.4198591780,27227.6249913979,49098.3080711324,25210.8263370102
34,83631.6800800768,0.0000000000,23812.7479352899,33679.1544144791,57376.5070245305,2052.5955634852,65765.5101038465,29974.1507059686,17733.5885536316,46582.7181245067
35,68580.1821578811,534.5581652239,26643.5913288051,16024.3341075556,51089.7556425395,0.0000000000,48887.1268615118,26189.0986294081,0.0000000000,44012.7686451047
36,72704.3293175657,0.0000000000,22431.7627732707,21562.0984763491,50852.0932169756,0.0000000000,54058.0096505961,24403.2439128205,5932.8276519348,42476.8222289466
37,71440.2566670970,4243.1324164476,14165.2720510392,24106.8179517759,44944.0057173677,0.0000000000,54584.0963817935,17782.3250351374,10163.1430368423,35114.0738981983
38,53717.2323558841,13893.0018962123,28400.3075387522,1328.7355333239,41797.5633914809,4131.9299764494,33506.1475019183,24005.0694619175,0.0000000000,38868.0442967565
39,51787.2458336554,16278.0727751589,29885.5117421708,0.0000000000,41507.0548719324,6010.2628292355,31245.9429429356,25335.3072159982,0.0000000000,39457.0829162045
40,47732.8676269372,18948.4788647826,23663.9264111328,0.0000000000,34279.9951638755,4911.9859948518,29023.5182615955,18553.5373468735,0.0000000000,32083.7189213351
41,72462.3850782696,23596.7274316596,0.0000000000,35525.5330008348,35404.2800720531,18446.4655713851,59474.5658184261,11985.1514246444,26829.0549871138,21231.4286319340
42,60068.0648800694,22727.6343698501,0.0000000000,23211.6048528438,26441.9378448882,10609.7039281646,46748.6164060703,0.0000000000,18104.1673198702,15642.8630877224
43,36429.3400114304,30204.9648151002,27695.2337338058,0.0000000000,28968.9867102040,15025.4418643497,18081.3950252832,19280.7601094266,10153.0051058142,31518.5279130765
44,36111.7202132455,30525.5788661458,27820.4670645083,0.0000000000,28864.8520286601,15333.8237085977,17778.6673814196,19380.7813692652,10461.4308175412,31560.3271747202
45,35946.3582337180,30698.7309744505,27954.0032899963,0.0000000000,28870.7663802193,15514.7969822306,17593.2977330194,19501.5979969779,10619.8372787201,31652.0344657824
46,35936.7588534364,30682.4439494964,27651.9440895586,0.0000000000,28598.3405932759,15434.5118361401,17711.8147400185,19198.8062888402,10644.0417132864,31340.0799118075
47,35581.6647838792,31030.0949144972,27659.3342962518,0.0000000000,28363.0383971993,15741.9154393377,17434.0529008700,19179.7427816608,10997.3548314055,31250.0061283946
48,69732.5968905914,28254.6159523587,0.0000000000,35868.4286204525,31289.4855759110,21134.4573103371,57910.4370843662,9946.1491280254,29194.9411606230,16578.7033982202
49,49326.5077954857,28452.2724059819,4959.9475861251,15596.2011931374,19334.9639106395,11052.8999223736,36418.3354978109,0.0000000000,16085.8986735817,12442.3499431031
50,49919.7879028056,28749.0672547526,3987.3399626115,16666.8784776063,18974.4636717258,11655.9866511161,37224.2053628700,0.0000000000,16934.0974681513,11595.6096998812
51,49014.6684776018,29202.5549922077,4479.8351379547,16007.7047155113,18595.3703283478,11771.4759272307,36320.2072103908,0.0000000000,16762.4012914710,11722.0321889056
52,17864.7152177775,58713.2563021206,53078.1398510773,27625.4050211751,41001.1307774612,44303.7271166370,0.0000000000,44370.2654616141,38554.1298253474,52774.4819134190
53,46903.6686961507,40756.4267195795,2127.7265129686,26194.0046812674,7794.7575893782,24247.2670507807,38558.7585563118,0.0000000000,29231.7486399671,657.9757785906
54,47591.7898708601,42352.7711550837,3076.2062799050,28296.2203617560,7355.7385210791,26152.0692715444,39879.2568319564,1666.0685437071,31282.7441607165,0.0000000000
55,41141.5442958241,46948.4747811214,9117.6759428634,27741.0679720336,800.6067503056,29386.6883418125,34868.8327042247,4105.7478062595,33220.8192154030,1284.2217462754
56,41012.5338859255,48592.2141387122,10359.8615753616,29299.8371939660,0.0000000000,31095.9806349996,35397.2901474569,5601.9873929426,34931.5386235112,760.7383691002
57,34882.9723955920,51996.7113387287,16124.9293553473,29149.3953866760,0.0000000000,34141.5963558631,30659.7928681682,9422.8084293477,36753.7519142967,6425.4357519829
58,44520.8156262121,52397.2529778445,12278.2247165360,35205.7298935145,3706.6053216702,35744.5541760978,40323.5011174827,10172.9830980391,40197.0135349420,0.0000000000
59,29272.9122913862,57406.1847908036,23173.3019289438,32145.6269600576,0.0000000000,39699.5176590918,26449.7770283186,15817.4770755534,41307.6880543752,12912.3670537757
60,25432.6682454538,58368.8864227695,26153.9167173056,31723.7913745476,0.0000000000,40874.2941462306,22671.1879758662,18160.7997133876,41733.8779370823,16479.9035537765
61,0.0000000000,70974.7411551577,52131.1163950976,38761.5896878750,30823.8310868649,54845.6465132037,0.0000000000,43797.4537859150,50916.9046198993,46703.7949853887
62,0.0000000000,68862.3127518592,48306.9486149975,36789.9556443964,26459.8102926605,52554.9882830923,277.1027720093,39908.3511636211,49092.0305087038,42426.6002459424
63,0.0000000000,71673.4328938960,51293.3617302100,39542.0474056982,29076.9260563134,55408.4262549661,430.9126478664,42876.6531797799,51806.2125003411,45177.5359205800
64,0.0000000000,71656.7891623374,51201.2942687641,39532.4925327254,28948.4462916117,55385.1044858048,492.1928083127,42781.4635709423,51801.1819541588,45056.5809011312
65,21184.6781213370,64151.7401330501,32670.4441530135,36299.8625798885,6211.8550524469,46862.3501914997,19367.0359682848,24613.6221208146,47100.6158909896,22541.8284099057
66,21170.0388149377,65282.6065942417,33534.4751119252,37434.0899361562,7070.8497998278,47978.2305259322,19615.3497169918,25569.4865798317,48243.0350616391,23224.4236644232
67,9207.4343912568,68553.4000469407,42140.5566449613,38071.3994284295,17323.0240483211,51926.2723464253,8835.4478951075,33643.7406973161,50117.7642947101,33783.5028961745
68,72950.0959651747,0.0000000000,35808.3026247025,20178.5694700864,59080.2657969126,7254.8328894553,51846.1096282167,35239.5979638512,0.0000000000,52992.1474232500
69,83910.5182587159,0.0000000000,24201.1887894993,33855.6317558107,57755.8693986743,2389.1600802169,65991.1554361786,30352.8774998204,17881.1251749608,46976.2931658228
70,70099.6437752006,0.0000000000,30516.6944403662,17140.1992406719,54334.5507427826,2305.5693294183,49745.1656832702,29933.2903174543,0.0000000000,47709.6442046676
71,78801.4912253518,121.9427484397,20627.3161689099,29216.5467139082,53048.7724135906,0.0000000000,61070.3313320341,25728.8221425099,13592.2006770624,42775.0369655876
72,68461.8548729131,603.9585448941,28229.5170103150,15654.9502047071,51973.5101244603,0.0000000000,48460.6554674462,27472.5473618935,0.0000000000,45214.9853527847
73,57370.2334967662,12125.0681647277,32397.1045863546,5357.3689739027,46681.2361392360,5275.0066975450,36366.2583992952,28150.0273566217,0.0000000000,43599.7291275006
74,49390.5456959429,17400.8831143408,25164.5298828067,0.0000000000,36608.2920842985,4560.4205966735,30117.3789309377,20527.2190515060,0.0000000000,34236.9688321286
75,52161.8202941428,16811.5009414121,15190.4629480793,7395.3415429457,31878.7351621466,0.0000000000,35548.9225090959,10964.8566588400,3858.4839489825,26334.4841981184
76,70448.5671679235,28391.6027694333,0.0000000000,36538.2620108240,31922.9450391933,21583.3809301348,58633.0936190116,10613.0884018599,29685.8233163580,17090.6484750498
77,35556.8006464853,31039.5137022682,27432.0753207970,0.0000000000,28143.4542709919,15702.2663179093,17512.1502843286,18950.4821041665,11040.8823316349,31008.9593230497
78,66677.7903141949,35187.1831859765,0.0000000000,37765.8942365773,26568.6732646581,25862.6494369558,56712.8366818456,9846.0400467261,33610.5118231837,11011.5168400636
79,41119.9717690798,37157.6845158891,7133.5365535742,17291.4590819895,10846.4961908008,19404.1787615970,30625.8352829391,0.0000000000,22493.1394570381,8184.3982553841
80,50159.8113187754,38922.3490877911,0.0000000000,27257.0785046806,10837.3154625263,23314.3877151510,41339.6557877745,0.0000000000,28953.5305718699,0.0000000000
