迭代次数,区域0工作量,区域1工作量,区域2工作量,总工作量,区域0占比,区域1占比,区域2占比
1,1636.469835,4727.499851,2729.303999,9093.273685,0.1800,0.5199,0.3001
2,5860.120301,2000.389383,2729.303999,10589.813683,0.5534,0.1889,0.2577
3,4811.506575,3403.058546,1920.360998,10134.926118,0.4747,0.3358,0.1895
4,1182.357774,4727.499851,8831.379050,14741.236675,0.0802,0.3207,0.5991
5,1782.781887,4461.504193,8831.379050,15075.665130,0.1183,0.2959,0.5858
6,4984.313694,3635.534435,1711.118326,10330.966454,0.4825,0.3519,0.1656
7,1158.358194,4727.499851,8374.313799,14260.171844,0.0812,0.3315,0.5873
8,2260.232128,3892.007072,8831.379050,14983.618250,0.1508,0.2598,0.5894
9,2534.428865,2805.216358,4888.465764,10228.110987,0.2478,0.2743,0.4779
10,2236.893948,5421.401496,2799.627730,10457.923174,0.2139,0.5184,0.2677
11,3158.191158,3403.058546,8831.379050,15392.628754,0.2052,0.2211,0.5737
12,2020.080830,4504.546983,8507.578180,15032.205993,0.1344,0.2997,0.5660
13,2620.504943,4238.551325,8507.578180,15366.634448,0.1705,0.2758,0.5536
14,1182.357774,3892.007072,9962.252079,15036.616924,0.0786,0.2588,0.6625
15,2080.316804,3403.058546,9962.252079,15445.627428,0.1347,0.2203,0.6450
16,3097.955184,3669.054204,8507.578180,15274.587567,0.2028,0.2402,0.5570
17,2138.907908,4727.499851,7992.258910,14858.666670,0.1440,0.3182,0.5379
18,1636.469835,3058.835031,8272.398864,12967.703730,0.1262,0.2359,0.6379
19,3339.688858,4238.551325,4572.426218,12150.666401,0.2749,0.3488,0.3763
20,3400.844380,3626.011414,8507.578180,15534.433974,0.2189,0.2334,0.5477
21,4030.598969,3058.835031,8831.379050,15920.813049,0.2532,0.1921,0.5547
22,2739.332021,4461.504193,7992.258910,15193.095125,0.1803,0.2937,0.5260
23,4631.023082,2792.839372,8831.379050,16255.241505,0.2849,0.1718,0.5433
24,1722.545912,4471.027214,8903.919813,15097.492940,0.1141,0.2961,0.5898
25,3216.782262,3892.007072,7992.258910,15101.048244,0.2130,0.2577,0.5293
26,1368.795008,4591.651588,8873.742675,14834.189271,0.0923,0.3095,0.5982
27,1158.358194,11194.611143,2729.303999,15082.273336,0.0768,0.7422,0.1810
28,5108.473323,2223.342251,8831.379050,16163.194624,0.3161,0.1376,0.5464
29,4114.741293,3403.058546,7992.258910,15510.058749,0.2653,0.2194,0.5153
30,1071.260091,4625.171357,9185.357059,14881.788506,0.0720,0.3108,0.6172
31,1182.357774,12743.377632,2729.303999,16655.039404,0.0710,0.7651,0.1639
