迭代次数,区域0工作量,区域1工作量,区域2工作量,总工作量,区域0占比,区域1占比,区域2占比
1,1636.469835,4727.499851,2729.303999,9093.273685,0.1800,0.5199,0.3001
2,6546.620492,1700.873956,8549.941805,16797.436253,0.3897,0.1013,0.5090
3,2860.656241,11418.936326,3083.282008,17362.874575,0.1648,0.6577,0.1776
4,1782.781887,11641.889194,3860.177027,17284.848109,0.1031,0.6735,0.2233
5,3097.955184,11684.931984,2405.503129,17188.390296,0.1802,0.6798,0.1399
6,2138.907908,12743.377632,1890.183859,16772.469399,0.1275,0.7598,0.1127
7,3158.191158,2805.216358,9859.667787,15823.075303,0.1996,0.1773,0.6231
8,4328.133886,10851.759942,2729.303999,17909.197827,0.2417,0.6059,0.1524
9,2739.332021,12477.381973,1890.183859,17106.897854,0.1601,0.7294,0.1105
10,2322.970026,12254.429105,2759.481137,17336.880268,0.1340,0.7068,0.1592
11,4631.023082,10808.717153,2729.303999,18169.044234,0.2549,0.5949,0.1502
12,4928.557999,10585.764284,2729.303999,18243.626283,0.2702,0.5802,0.1496
13,3490.317599,10136.165495,1890.183859,15516.666954,0.2249,0.6532,0.1218
14,2860.656241,5387.881728,7813.193377,16061.731345,0.1781,0.3354,0.4864
15,4030.598969,11041.193042,2771.667624,17843.459634,0.2259,0.6188,0.1553
16,5108.473323,10239.220031,2729.303999,18076.997353,0.2826,0.5664,0.1510
17,4030.598969,10851.759942,3083.282008,17965.640919,0.2244,0.6040,0.1716
18,2679.096046,12743.377632,1566.382989,16988.856667,0.1577,0.7501,0.0922
19,5708.897436,9973.224373,2729.303999,18411.425809,0.3101,0.5417,0.1482
20,4631.023082,10585.764284,3083.282008,18300.069374,0.2531,0.5785,0.1685
21,2138.907908,12486.904995,2286.525493,16912.338395,0.1265,0.7383,0.1352
22,4570.787107,11074.712811,2405.503129,18051.003047,0.2532,0.6135,0.1333
