迭代次数,区域0工作量,区域1工作量,区域2工作量,总工作量
1,11.931609,2.018753,0.000000,13.950361
2,5.813215,7.776625,0.000000,13.589840
3,11.795322,2.997094,0.000000,14.792416
4,12.339251,1.273254,3.377497,16.990002
5,7.059048,6.103292,3.435751,16.598091
6,8.712347,7.480013,0.000000,16.192360
7,10.018332,3.257891,6.700438,19.976661
8,9.639905,1.983834,2.765398,14.389136
9,10.018332,11.770642,0.000000,21.788974
10,9.100667,7.783294,0.000000,16.883961
11,7.148281,14.892428,0.000000,22.040709
12,13.711588,1.329897,0.982567,16.024051
13,9.605536,6.683158,0.394106,16.682800
14,7.347515,6.888391,0.982567,15.218473
15,6.616334,2.412940,10.077935,19.107208
16,10.582485,2.327660,4.037730,16.947875
17,14.789955,1.078575,0.394106,16.262636
18,10.513611,3.033133,3.897323,17.444067
19,6.564609,10.220198,4.360064,21.144871
20,8.967345,6.437292,0.394106,15.798742
21,19.347850,0.614200,0.000000,19.962050
22,11.069448,5.967328,1.376672,18.413448
23,5.635806,15.413484,0.982567,22.031856
24,5.815945,6.379678,8.483269,20.678892
25,6.478106,9.809682,6.700438,22.988227
26,9.308896,4.999126,1.212425,15.520447
27,5.172122,13.597610,0.394106,19.163838
28,10.145306,12.343224,0.000000,22.488530
29,11.899856,1.612343,1.883333,15.395532
30,11.798624,9.781267,0.982567,22.562458
31,11.963044,1.170265,7.683005,20.816314
32,7.613958,6.475061,7.683005,21.772024
33,10.924099,10.531503,1.885489,23.341091
34,6.639599,14.334920,1.782831,22.757350
35,5.896527,2.197267,8.596079,16.689874
36,5.621678,17.192702,0.000000,22.814379
37,9.463741,14.753625,0.000000,24.217366
38,9.721124,14.237893,0.394106,24.353123
39,11.055335,5.855290,0.394106,17.304731
40,9.685312,4.358976,0.480925,14.525213
41,5.378689,15.824432,0.000000,21.203121
42,10.145306,2.452946,8.189665,20.787918
43,14.633339,10.523999,0.000000,25.157338
44,10.996972,6.932617,0.982567,18.912156
45,5.894875,7.887172,2.159829,15.941876
46,10.794830,10.574507,0.996124,22.365462
47,10.492644,9.786005,4.418318,24.696967
48,9.936808,2.598939,10.136189,22.671936
49,10.142342,5.720623,6.700438,22.563403
50,10.690382,12.642284,0.000000,23.332666
51,6.639599,6.524125,7.696562,20.860286
52,5.913153,12.036504,6.700438,24.650095
53,4.619901,13.923995,0.000000,18.543895
54,6.473968,6.537486,10.597761,23.609215
55,4.116868,19.643109,0.394106,24.154083
56,7.245488,10.531503,7.274820,25.051811
57,4.520400,7.646232,10.738168,22.904799
58,9.964731,2.295138,8.980033,21.239901
59,10.488506,15.659770,0.000000,26.148276
60,11.755471,3.274408,7.094544,22.124422
61,4.983885,19.561572,0.229859,24.775315
62,11.174028,2.714688,0.318456,14.207172
63,9.650610,2.018753,9.115905,20.785267
64,6.790156,14.948951,0.982567,22.721674
65,5.312529,16.668803,0.000000,21.981332
66,5.673504,17.079581,0.000000,22.753085
67,5.664671,15.241750,0.088597,20.995019
68,6.534300,14.174345,2.471794,23.180439
69,13.284381,10.898008,0.000000,24.182389
70,11.679083,1.568192,2.208549,15.455825
71,13.582489,6.218783,6.700438,26.501710
72,6.529668,14.939849,3.377497,24.847014
73,4.857161,18.237241,0.088597,23.183000
74,13.170069,3.417631,6.700438,23.288138
75,6.300692,10.190284,6.700438,23.191414
76,11.416041,2.014015,8.860267,22.290323
77,12.351982,9.994320,2.159829,24.506131
78,5.770076,15.192712,1.390230,22.353019
79,10.058804,6.357171,7.683005,24.098980
80,5.913153,15.109683,4.879889,25.902725
81,7.636250,14.513054,0.773939,22.923243
82,7.058121,10.989818,5.160328,23.208268
83,4.683744,13.368391,0.000000,18.052135
84,10.600096,12.809076,0.982567,24.391739
85,7.954948,17.288753,0.000000,25.243701
86,8.044903,19.264960,0.000000,27.309863
87,6.044266,18.954461,0.982567,25.981294
88,7.595442,2.169852,13.975258,23.740552
89,5.022635,20.640038,0.000000,25.662673
90,4.057987,3.521685,13.907792,21.487465
91,5.336212,18.533438,0.000000,23.869650
92,7.832952,15.745914,0.982567,24.561432
93,8.545893,17.555291,0.000000,26.101183
94,8.243098,6.556140,0.773939,15.573177
95,8.200940,11.242082,5.218582,24.661605
96,5.748528,16.006086,0.394106,22.148720
97,4.787672,9.599205,7.094544,21.481420
98,8.156359,10.409023,6.813248,25.378631
99,10.795117,10.785645,0.736036,22.316797
100,11.303595,3.203146,0.689123,15.195864
101,10.110062,8.444413,6.700438,25.254913
102,9.234286,2.598939,5.828149,17.661374
103,4.953784,20.825640,0.394106,26.173530
104,16.758893,1.223595,6.700438,24.682926
105,5.577226,1.273254,14.728822,21.579302
106,7.031802,6.281807,7.704236,21.017845
107,5.870507,15.072914,0.799381,21.742802
108,3.874147,21.041650,0.000000,24.915797
109,5.990315,18.317695,0.482703,24.790714
110,9.772849,5.147953,8.090668,23.011470
111,5.519024,18.756627,0.459265,24.734915
112,9.591764,12.289834,1.978691,23.860289
113,10.402004,18.931967,0.000000,29.333970
114,9.852679,8.525951,6.700438,25.079068
115,5.319453,16.582057,0.773939,22.675449
116,10.110062,10.531503,5.595580,26.237145
117,8.127155,10.125094,5.537326,23.789574
118,6.328476,16.640258,0.229859,23.198592
119,12.460727,2.047980,7.729488,22.238196
120,9.156171,10.531503,6.074260,25.761934
121,8.388789,11.667653,4.431875,24.488317
122,9.551525,3.707222,1.237677,14.496425
123,9.235758,15.374034,0.000000,24.609791
124,9.069668,11.658355,6.700438,27.428461
125,13.427681,10.048074,0.000000,23.475755
126,12.998530,10.560731,0.773939,24.333200
127,4.711930,7.480819,11.919020,24.111770
128,9.856825,6.924098,6.700438,23.481362
129,10.144620,19.013505,0.000000,29.158125
130,9.069668,15.477032,3.897323,28.444023
131,5.062800,22.413554,0.000000,27.476354
132,4.888388,9.786005,10.180624,24.855017
133,6.387465,14.616043,7.333074,28.336582
134,7.425961,6.778704,7.152240,21.356906
135,11.194655,10.409631,3.272059,24.876346
136,5.516352,9.867986,6.955549,22.339886
137,6.296131,18.857698,0.088597,25.242426
138,5.832292,9.098948,7.324402,22.255642
139,9.374853,8.986081,6.700438,25.061372
140,16.362211,9.123536,1.782831,27.268578
141,10.541517,5.794398,7.683005,24.018919
142,9.739842,1.549640,13.363158,24.652641
143,3.579695,21.667246,0.394106,25.641046
144,10.833458,10.531503,5.782812,27.147773
145,10.105753,14.984397,3.435751,28.525901
146,5.055130,7.342431,14.033512,26.431073
147,5.853001,2.018753,14.748301,22.620054
148,5.976155,16.296045,1.075766,23.347966
149,4.805706,13.870544,5.044992,23.721242
150,5.479312,17.842242,3.377497,26.699051
151,11.712575,6.904517,6.700438,25.317530
152,7.391741,18.413078,0.982567,26.787386
153,8.615436,13.708666,3.142396,25.466497
154,6.879622,9.917239,7.683005,24.479866
155,4.787672,12.659736,5.262986,22.710393
156,6.806255,13.511876,2.463660,22.781791
157,6.473968,19.207127,0.996124,26.677219
158,7.349450,20.562357,0.000000,27.911807
159,9.069668,16.464715,3.435751,28.970134
160,4.647374,19.773994,0.982567,25.403935
161,8.926568,11.269498,5.321240,25.517306
162,10.877444,10.531503,6.057152,27.466099
163,11.038412,2.259971,7.888276,21.186658
164,6.674425,14.227294,1.986365,22.888084
165,7.293738,5.477985,11.860766,24.632489
166,10.488267,11.870168,0.982567,23.341002
167,7.440091,9.869034,5.862849,23.171974
168,16.318011,9.504881,3.897323,29.720216
169,8.292216,15.587579,1.782831,25.662627
170,8.409738,18.500103,0.000000,26.909841
171,11.688811,10.998629,0.649216,23.336656
172,7.611062,12.129736,6.700438,26.441237
173,5.797862,18.500948,1.029050,25.327860
174,5.194643,4.314266,13.220331,22.729240
175,7.129805,15.286348,0.681661,23.097814
176,4.867282,24.532031,0.000000,29.399312
177,10.214155,5.256030,11.580327,27.050512
178,3.940410,15.855181,5.319084,25.114676
179,4.129626,19.785201,0.000000,23.914827
180,11.488392,12.487890,3.435751,27.412034
181,7.596928,14.291377,2.868055,24.756361
182,10.999692,2.062833,1.540840,14.603364
183,10.689595,2.295138,12.757590,25.742323
184,8.525014,5.931761,7.575469,22.032244
185,13.799418,5.061182,10.136189,28.996790
186,6.040127,15.050236,5.386550,26.476914
187,7.654430,5.981421,11.625417,25.261267
188,6.585203,12.908146,6.700438,26.193787
189,5.915824,10.584934,8.077110,24.577868
190,4.904608,21.191636,0.000000,26.096243
191,8.044903,11.025143,8.456047,27.526094
192,11.517023,3.188006,6.930297,21.635326
193,8.044903,2.018753,15.956750,26.020406
194,5.862133,16.094306,0.480925,22.437364
195,3.596524,24.727027,0.000000,28.323551
196,7.064781,14.490756,4.045318,25.600856
197,4.797747,3.257891,18.012988,26.068626
198,9.545108,10.671235,6.700438,26.916781
199,6.450932,20.670292,0.982567,28.103791
200,15.248365,2.650781,10.597761,28.496907
201,10.343905,3.136020,12.021678,25.501603
202,4.662129,14.972793,4.336766,23.971687
203,9.115870,16.143923,0.255111,25.514904
204,3.513842,23.175166,0.000000,26.689008
205,9.338542,1.273254,13.672690,24.284486
206,4.228102,12.495641,7.683005,24.406748
207,3.968531,21.876035,0.000000,25.844566
208,8.520343,17.532342,0.982567,27.035251
209,3.634464,21.106806,0.000000,24.741269
210,9.363587,6.735449,0.000000,16.099036
211,10.897364,1.771595,8.189871,20.858830
212,7.185096,16.015294,1.237677,24.438067
213,10.144620,9.786005,8.917619,28.848244
214,9.545108,19.183985,0.000000,28.729094
215,6.377682,20.740166,0.000000,27.117848
216,8.855653,13.956988,4.893447,27.706088
217,6.656642,10.524740,7.349654,24.531037
