PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9
0,34480.8205705434,32092.6909684864,27320.5653616178,339.4123379008,27292.1441568235,16614.5218075168,16761.6510582859,18766.1642353716,12140.1980405827,30588.9667505984
1,34911.2101726918,31653.9817440414,26291.8980783518,298.3017825666,26652.0385229983,16024.3825926827,17539.0609580022,17762.8914898778,11877.9921145263,29636.2612454223
2,41202.0385963517,43517.0666975985,7469.0819948702,24150.8807958570,4114.7539848736,25696.3623286845,33469.7976394794,1497.1528301964,29414.4868175929,2956.2255778095
3,40607.0657469448,48252.0543574173,10284.0703970521,28666.5386433401,93.2212305797,30652.1690935714,34837.2064995035,5248.8580229675,34397.2557380733,1307.3932330338
4,86564.1619714663,7.3708882401,32405.6160878647,34339.7379449888,64281.7985484162,8361.7085460700,67190.9044628644,37111.1670712372,16014.4899600732,54607.8628530289
5,77270.2785067542,126.0566668286,20464.2179617251,27481.7936440747,52175.7891217512,0.7368753598,59414.2877063020,24943.5074090023,11910.5182708337,42238.5263154242
6,72800.4957698394,364.9909923389,20873.5849262637,22264.3909718713,49933.4291743931,267.7121635156,54492.4746998139,23267.5093952784,6898.6251380773,41213.1601412623
7,71099.6734261830,2803.6628746110,16606.6154010252,22424.8690978263,46260.3325915023,1157.5066306463,53645.9978848235,19352.7864458214,8090.3248241744,37052.7351058890
8,67627.6151207482,5745.6500405556,14670.5136440645,19982.9257427602,42825.9843721779,77.5221678676,50494.9647968544,16211.6619363583,6863.3822342725,34067.3985206745
9,67772.1250013723,31713.4440581021,13.2199996495,36401.5067501263,28446.4832905100,23230.5586440484,56881.5531891792,9262.9494164680,31140.3384041323,13350.2952637846
10,54551.4137418734,29167.5321683858,32.0350882172,22457.7902565569,19387.8153178376,14453.5108751603,42596.3264162885,144.0042452732,20964.8570376293,9396.8724530317
11,23792.0987690519,49892.2943026467,47365.5842081172,19366.9902106121,38875.1497619238,35855.2610938960,6666.7512010869,38536.6471896066,29888.9031576773,48323.6935937413
