InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseScenarioGeneration,Runtime(s),Objective,OutOfSamplePerformance,Status
GG50-5-3.dat,50,5,0.250,0.5,0.3,1000,true,0.095,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.250,0.5,0.2,1000,true,0.095,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.250,0.5,0.1,1000,true,0.111,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.250,0.4,0.3,1000,true,0.109,7552.1325,0.9922,2
GG50-5-3.dat,50,5,0.250,0.4,0.2,1000,true,0.102,7552.1325,0.9922,2
GG50-5-3.dat,50,5,0.250,0.4,0.1,1000,true,0.095,7552.1325,0.9922,2
GG50-5-3.dat,50,5,0.250,0.3,0.3,1000,true,0.091,7839.8318,0.9092,2
GG50-5-3.dat,50,5,0.250,0.3,0.2,1000,true,0.095,7839.8318,0.9092,2
GG50-5-3.dat,50,5,0.250,0.3,0.1,1000,true,0.085,7839.8318,0.9092,2
GG50-6-3.dat,50,6,0.125,0.5,0.3,1000,true,0.190,6448.3373,0.9110,2
GG50-6-3.dat,50,6,0.125,0.5,0.2,1000,true,0.160,6448.3373,0.9110,2
GG50-6-3.dat,50,6,0.125,0.5,0.1,1000,true,0.175,6448.3373,0.9110,2
GG50-6-3.dat,50,6,0.125,0.4,0.3,1000,true,0.176,6466.7786,0.9692,2
GG50-6-3.dat,50,6,0.125,0.4,0.2,1000,true,0.164,6466.7786,0.9692,2
GG50-6-3.dat,50,6,0.125,0.4,0.1,1000,true,0.174,6466.7786,0.9692,2
GG50-6-3.dat,50,6,0.125,0.3,0.3,1000,true,0.165,6661.6755,0.9860,2
GG50-6-3.dat,50,6,0.125,0.3,0.2,1000,true,0.160,6661.6755,0.9860,2
GG50-6-3.dat,50,6,0.125,0.3,0.1,1000,true,0.160,6661.6755,0.9860,2
GG50-6-3.dat,50,6,0.250,0.5,0.3,1000,true,0.167,6448.3373,0.7464,2
GG50-6-3.dat,50,6,0.250,0.5,0.2,1000,true,0.169,6466.7786,0.9834,2
GG50-6-3.dat,50,6,0.250,0.5,0.1,1000,true,0.172,6466.7786,0.9834,2
GG50-6-3.dat,50,6,0.250,0.4,0.3,1000,true,0.167,6633.8465,0.9856,2
GG50-6-3.dat,50,6,0.250,0.4,0.2,1000,true,0.176,6633.8465,0.9856,2
GG50-6-3.dat,50,6,0.250,0.4,0.1,1000,true,0.254,6609.4562,0.9856,2
GG50-6-3.dat,50,6,0.250,0.3,0.3,1000,true,0.185,6661.6755,0.7722,2
GG50-6-3.dat,50,6,0.250,0.3,0.2,1000,true,0.206,6820.5510,0.8782,2
GG50-6-3.dat,50,6,0.250,0.3,0.1,1000,true,0.394,7045.5657,0.9908,2
