PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29
25,Null,Null,9800.1350023438,Null,Null,Null,4856.0374508227,Null,Null,Null,Null,Null,1062.5920464230,Null,Null,16761.0161929096,Null,Null,13696.5892713459,5938.3085112957,Null,4830.3294142763,Null,Null,Null,Null,Null,Null,Null,Null
26,Null,Null,Null,Null,Null,Null,1538.8400045934,Null,Null,Null,Null,Null,7273.5485383842,Null,Null,Null,Null,Null,Null,27.2525435564,Null,7463.2533407201,Null,Null,Null,Null,Null,Null,Null,Null
27,Null,Null,9146.8562999848,Null,Null,Null,3431.1032504612,Null,Null,Null,Null,Null,9120.7403142189,Null,Null,Null,Null,Null,Null,Null,Null,43.4078222152,Null,Null,Null,Null,Null,Null,Null,Null
28,Null,Null,Null,Null,Null,7518.2961870423,Null,Null,Null,11771.7875834150,Null,Null,Null,Null,Null,13721.9738047983,Null,Null,6275.5472438579,Null,Null,Null,3710.5809583797,Null,Null,Null,Null,Null,Null,8324.0128845841
29,Null,Null,13294.9779789169,Null,Null,9557.4550708918,9934.3766307335,Null,Null,Null,Null,Null,2819.9446208806,Null,Null,13237.6920301902,Null,Null,8378.6311960254,8130.9989677636,Null,10542.3662373833,11075.1214527717,Null,Null,Null,Null,Null,Null,Null
30,Null,Null,7300.9772424403,Null,Null,Null,5198.9996951593,Null,Null,Null,Null,Null,3229.6196386694,Null,Null,15793.2109718621,Null,Null,Null,8179.6456821827,Null,3292.0786023461,Null,Null,Null,Null,Null,Null,Null,Null
31,Null,Null,6175.7485983513,Null,Null,Null,3644.1588739371,Null,Null,Null,Null,Null,4218.1893673708,Null,Null,18760.3581837682,Null,Null,Null,Null,Null,342.4776285666,Null,Null,Null,Null,Null,Null,Null,Null
32,Null,Null,7484.0438597717,Null,Null,Null,5051.7650800544,Null,Null,Null,Null,Null,8753.0435380670,Null,Null,Null,Null,Null,Null,Null,Null,36.2805381068,Null,Null,Null,Null,Null,Null,Null,Null
33,Null,Null,9466.9388088798,Null,Null,11693.2168214654,8380.0714411714,Null,Null,Null,Null,Null,126.5999116479,Null,Null,13324.8197304236,Null,Null,12388.1662861914,8455.1224320103,Null,6683.1845393042,Null,Null,Null,Null,Null,Null,Null,Null
34,Null,Null,15100.1071732300,Null,Null,5044.5267825080,Null,Null,Null,Null,Null,Null,4194.7915710053,Null,Null,3623.1835694517,Null,Null,8641.2264066574,Null,Null,Null,4892.4624754223,Null,Null,Null,Null,Null,Null,Null
