
============================================================
处理日期: 2022-01-10
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 150/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20220110.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20220110.csv
进度: 32.8283% (6500/19800) [Region:62, Point:2418] 已用: 0.0s, 剩余: 0.1s
进度: 33.3333% (6600/19800) [Region:128, Point:429] 已用: 0.0s, 剩余: 0.1s
进度: 33.8384% (6700/19800) [Region:49, Point:57] 已用: 0.0s, 剩余: 0.1s
进度: 34.3434% (6800/19800) [Region:49, Point:117] 已用: 0.0s, 剩余: 0.1s
进度: 34.8485% (6900/19800) [Region:133, Point:3074] 已用: 0.0s, 剩余: 0.1s
进度: 35.3535% (7000/19800) [Region:24, Point:1505] 已用: 0.0s, 剩余: 0.1s
进度: 35.8586% (7100/19800) [Region:178, Point:908] 已用: 0.0s, 剩余: 0.1s
进度: 36.3636% (7200/19800) [Region:69, Point:756] 已用: 0.0s, 剩余: 0.1s
进度: 36.8687% (7300/19800) [Region:130, Point:1238] 已用: 0.0s, 剩余: 0.1s
进度: 37.3737% (7400/19800) [Region:70, Point:2485] 已用: 0.0s, 剩余: 0.1s
进度: 37.8788% (7500/19800) [Region:180, Point:3334] 已用: 0.0s, 剩余: 0.1s
进度: 38.3838% (7600/19800) [Region:167, Point:789] 已用: 0.0s, 剩余: 0.1s
进度: 38.8889% (7700/19800) [Region:176, Point:3963] 已用: 0.0s, 剩余: 0.1s
进度: 39.3939% (7800/19800) [Region:73, Point:2926] 已用: 0.0s, 剩余: 0.1s
进度: 39.8990% (7900/19800) [Region:126, Point:2920] 已用: 0.0s, 剩余: 0.1s
进度: 40.4040% (8000/19800) [Region:74, Point:3319] 已用: 0.0s, 剩余: 0.1s
进度: 40.9091% (8100/19800) [Region:176, Point:3829] 已用: 0.0s, 剩余: 0.1s
进度: 41.4141% (8200/19800) [Region:127, Point:2235] 已用: 0.0s, 剩余: 0.1s
进度: 41.9192% (8300/19800) [Region:125, Point:2238] 已用: 0.0s, 剩余: 0.1s
进度: 42.4242% (8400/19800) [Region:134, Point:606] 已用: 0.0s, 剩余: 0.1s
进度: 42.9293% (8500/19800) [Region:135, Point:3196] 已用: 0.0s, 剩余: 0.1s
进度: 43.4343% (8600/19800) [Region:135, Point:2302] 已用: 0.0s, 剩余: 0.1s
进度: 43.9394% (8700/19800) [Region:171, Point:3078] 已用: 0.0s, 剩余: 0.1s
进度: 44.4444% (8800/19800) [Region:177, Point:3536] 已用: 0.0s, 剩余: 0.1s
进度: 44.9495% (8900/19800) [Region:177, Point:489] 已用: 0.0s, 剩余: 0.0s
进度: 45.4545% (9000/19800) [Region:172, Point:3569] 已用: 0.0s, 剩余: 0.0s
进度: 45.9596% (9100/19800) [Region:82, Point:1196] 已用: 0.0s, 剩余: 0.0s
进度: 46.4646% (9200/19800) [Region:198, Point:2100] 已用: 0.0s, 剩余: 0.0s
进度: 46.9697% (9300/19800) [Region:175, Point:3125] 已用: 0.0s, 剩余: 0.0s
进度: 47.4747% (9400/19800) [Region:173, Point:3579] 已用: 0.0s, 剩余: 0.0s
进度: 48.4848% (9600/19800) [Region:199, Point:3701] 已用: 0.0s, 剩余: 0.0s
进度: 47.9798% (9500/19800) [Region:138, Point:1342] 已用: 0.0s, 剩余: 0.0s
进度: 48.9899% (9700/19800) [Region:199, Point:2657] 已用: 0.0s, 剩余: 0.0s
进度: 49.4949% (9800/19800) [Region:131, Point:2201] 已用: 0.0s, 剩余: 0.0s
进度: 50.0000% (9900/19800) [Region:196, Point:1943] 已用: 0.0s, 剩余: 0.0s
进度: 50.5051% (10000/19800) [Region:148, Point:1876] 已用: 0.0s, 剩余: 0.0s
进度: 51.0101% (10100/19800) [Region:197, Point:3525] 已用: 0.0s, 剩余: 0.0s
进度: 51.5152% (10200/19800) [Region:148, Point:3934] 已用: 0.0s, 剩余: 0.0s
进度: 52.0202% (10300/19800) [Region:149, Point:1322] 已用: 0.0s, 剩余: 0.0s
进度: 52.5253% (10400/19800) [Region:174, Point:1086] 已用: 0.0s, 剩余: 0.0s
进度: 53.0303% (10500/19800) [Region:146, Point:2897] 已用: 0.0s, 剩余: 0.0s
进度: 53.5354% (10600/19800) [Region:147, Point:2798] 已用: 0.0s, 剩余: 0.0s
进度: 54.0404% (10700/19800) [Region:37, Point:2205] 已用: 0.0s, 剩余: 0.0s
进度: 54.5455% (10800/19800) [Region:141, Point:3932] 已用: 0.0s, 剩余: 0.0s
进度: 55.0505% (10900/19800) [Region:143, Point:1600] 已用: 0.0s, 剩余: 0.0s
进度: 55.5556% (11000/19800) [Region:139, Point:185] 已用: 0.0s, 剩余: 0.0s
进度: 56.0606% (11100/19800) [Region:142, Point:3217] 已用: 0.0s, 剩余: 0.0s
进度: 56.5657% (11200/19800) [Region:169, Point:3406] 已用: 0.0s, 剩余: 0.0s
进度: 57.0707% (11300/19800) [Region:137, Point:2246] 已用: 0.0s, 剩余: 0.0s
进度: 57.5758% (11400/19800) [Region:78, Point:2492] 已用: 0.1s, 剩余: 0.0s
进度: 58.0808% (11500/19800) [Region:78, Point:3126] 已用: 0.1s, 剩余: 0.0s
进度: 58.5859% (11600/19800) [Region:170, Point:2383] 已用: 0.1s, 剩余: 0.0s
进度: 59.0909% (11700/19800) [Region:85, Point:1221] 已用: 0.1s, 剩余: 0.0s
进度: 59.5960% (11800/19800) [Region:81, Point:2262] 已用: 0.1s, 剩余: 0.0s
进度: 60.1010% (11900/19800) [Region:174, Point:2879] 已用: 0.1s, 剩余: 0.0s
进度: 60.6061% (12000/19800) [Region:170, Point:78] 已用: 0.1s, 剩余: 0.0s
进度: 61.1111% (12100/19800) [Region:98, Point:2914] 已用: 0.1s, 剩余: 0.0s
进度: 61.6162% (12200/19800) [Region:162, Point:3782] 已用: 0.1s, 剩余: 0.0s
进度: 62.1212% (12300/19800) [Region:76, Point:2732] 已用: 0.1s, 剩余: 0.0s
进度: 62.6263% (12400/19800) [Region:99, Point:3440] 已用: 0.1s, 剩余: 0.0s
进度: 63.1313% (12500/19800) [Region:77, Point:616] 已用: 0.1s, 剩余: 0.0s
进度: 63.6364% (12600/19800) [Region:80, Point:2345] 已用: 0.1s, 剩余: 0.0s
进度: 64.1414% (12700/19800) [Region:191, Point:1592] 已用: 0.1s, 剩余: 0.0s
进度: 64.6465% (12800/19800) [Region:153, Point:3525] 已用: 0.1s, 剩余: 0.0s
进度: 65.1515% (12900/19800) [Region:10, Point:3820] 已用: 0.1s, 剩余: 0.0s
