
============================================================
处理日期: 2021-12-18
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 162/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20211218.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20211218.csv

进度: 32.3232% (6400/19800) [Region:64, Point:927] 已用: 0.0s, 剩余: 0.0s
进度: 32.8283% (6500/19800) [Region:49, Point:358] 已用: 0.0s, 剩余: 0.0s
进度: 33.3333% (6600/19800) [Region:46, Point:1274] 已用: 0.0s, 剩余: 0.0s
进度: 33.8384% (6700/19800) [Region:111, Point:931] 已用: 0.0s, 剩余: 0.0s
进度: 34.3434% (6800/19800) [Region:166, Point:193] 已用: 0.0s, 剩余: 0.0s
进度: 34.8485% (6900/19800) [Region:50, Point:1692] 已用: 0.0s, 剩余: 0.0s
进度: 35.3535% (7000/19800) [Region:39, Point:2013] 已用: 0.0s, 剩余: 0.0s
进度: 35.8586% (7100/19800) [Region:194, Point:2863] 已用: 0.0s, 剩余: 0.0s
进度: 36.3636% (7200/19800) [Region:69, Point:792] 已用: 0.0s, 剩余: 0.0s
进度: 36.8687% (7300/19800) [Region:78, Point:2646] 已用: 0.0s, 剩余: 0.0s
进度: 37.3737% (7400/19800) [Region:122, Point:437] 已用: 0.0s, 剩余: 0.0s
进度: 37.8788% (7500/19800) [Region:122, Point:3769] 已用: 0.0s, 剩余: 0.0s
进度: 38.3838% (7600/19800) [Region:47, Point:631] 已用: 0.0s, 剩余: 0.0s
进度: 38.8889% (7700/19800) [Region:70, Point:3035] 已用: 0.0s, 剩余: 0.0s
进度: 39.3939% (7800/19800) [Region:13, Point:3369] 已用: 0.0s, 剩余: 0.0s
进度: 39.8990% (7900/19800) [Region:166, Point:233] 已用: 0.0s, 剩余: 0.0s
进度: 41.9192% (8300/19800) [Region:123, Point:2245] 已用: 0.0s, 剩余: 0.0s
进度: 41.4141% (8200/19800) [Region:113, Point:3983] 已用: 0.0s, 剩余: 0.0s
进度: 40.9091% (8100/19800) [Region:14, Point:1573] 已用: 0.0s, 剩余: 0.0s
进度: 40.4040% (8000/19800) [Region:68, Point:2136] 已用: 0.0s, 剩余: 0.0s
进度: 43.4343% (8600/19800) [Region:114, Point:2723] 已用: 0.0s, 剩余: 0.0s
进度: 42.9293% (8500/19800) [Region:144, Point:1372] 已用: 0.0s, 剩余: 0.0s
进度: 42.4242% (8400/19800) [Region:123, Point:2282] 已用: 0.0s, 剩余: 0.0s
进度: 43.9394% (8700/19800) [Region:68, Point:1460] 已用: 0.0s, 剩余: 0.0s
进度: 44.4444% (8800/19800) [Region:7, Point:2832] 已用: 0.0s, 剩余: 0.0s
进度: 44.9495% (8900/19800) [Region:124, Point:2347] 已用: 0.0s, 剩余: 0.0s
进度: 45.4545% (9000/19800) [Region:73, Point:2559] 已用: 0.0s, 剩余: 0.0s
进度: 45.9596% (9100/19800) [Region:73, Point:3824] 已用: 0.0s, 剩余: 0.0s
进度: 46.4646% (9200/19800) [Region:119, Point:1753] 已用: 0.0s, 剩余: 0.0s
进度: 46.9697% (9300/19800) [Region:119, Point:2416] 已用: 0.0s, 剩余: 0.0s
进度: 47.4747% (9400/19800) [Region:6, Point:2599] 已用: 0.0s, 剩余: 0.0s
进度: 47.9798% (9500/19800) [Region:6, Point:1881] 已用: 0.0s, 剩余: 0.0s
进度: 48.4848% (9600/19800) [Region:74, Point:3350] 已用: 0.0s, 剩余: 0.0s
进度: 49.4949% (9800/19800) [Region:193, Point:3701] 已用: 0.0s, 剩余: 0.0s
进度: 50.0000% (9900/19800) [Region:193, Point:1433] 已用: 0.0s, 剩余: 0.0s
进度: 50.5051% (10000/19800) [Region:193, Point:1455] 已用: 0.0s, 剩余: 0.0s
进度: 51.0101% (10100/19800) [Region:140, Point:2260] 已用: 0.0s, 剩余: 0.0s
进度: 51.5152% (10200/19800) [Region:79, Point:3772] 已用: 0.0s, 剩余: 0.0s
进度: 52.5253% (10400/19800) [Region:141, Point:1582] 已用: 0.0s, 剩余: 0.0s
