
============================================================
处理日期: 2023-05-02
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 965/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20230502.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20230502.csv
进度: 32.3232% (6400/19800) [Region:130, Point:2801] 已用: 1.0s, 剩余: 2.0s
进度: 32.8283% (6500/19800) [Region:130, Point:3826] 已用: 1.0s, 剩余: 2.0s
进度: 33.3333% (6600/19800) [Region:32, Point:930] 已用: 1.0s, 剩余: 2.0s
进度: 33.8384% (6700/19800) [Region:146, Point:1774] 已用: 1.0s, 剩余: 2.0s
进度: 34.3434% (6800/19800) [Region:146, Point:3703] 已用: 1.0s, 剩余: 2.0s
进度: 34.8485% (6900/19800) [Region:63, Point:539] 已用: 1.1s, 剩余: 2.0s
进度: 35.3535% (7000/19800) [Region:96, Point:3553] 已用: 1.1s, 剩余: 2.0s
进度: 35.8586% (7100/19800) [Region:113, Point:3217] 已用: 1.1s, 剩余: 2.0s
进度: 36.3636% (7200/19800) [Region:113, Point:2647] 已用: 1.1s, 剩余: 1.9s
进度: 36.8687% (7300/19800) [Region:147, Point:2603] 已用: 1.1s, 剩余: 2.0s
进度: 37.3737% (7400/19800) [Region:133, Point:11] 已用: 1.2s, 剩余: 2.0s
进度: 37.8788% (7500/19800) [Region:147, Point:2234] 已用: 1.2s, 剩余: 2.0s
进度: 38.3838% (7600/19800) [Region:105, Point:2858] 已用: 1.2s, 剩余: 2.0s
进度: 38.8889% (7700/19800) [Region:139, Point:17] 已用: 1.3s, 剩余: 2.0s
进度: 39.3939% (7800/19800) [Region:101, Point:1783] 已用: 1.3s, 剩余: 2.0s
进度: 39.8990% (7900/19800) [Region:101, Point:1844] 已用: 1.3s, 剩余: 2.0s
进度: 40.4040% (8000/19800) [Region:102, Point:3301] 已用: 1.3s, 剩余: 1.9s
进度: 40.9091% (8100/19800) [Region:147, Point:2211] 已用: 1.3s, 剩余: 1.9s
进度: 41.4141% (8200/19800) [Region:18, Point:3689] 已用: 1.4s, 剩余: 1.9s
进度: 41.9192% (8300/19800) [Region:127, Point:2279] 已用: 1.4s, 剩余: 1.9s
进度: 42.4242% (8400/19800) [Region:110, Point:1272] 已用: 1.4s, 剩余: 1.9s
进度: 42.9293% (8500/19800) [Region:98, Point:1655] 已用: 1.4s, 剩余: 1.9s
进度: 43.4343% (8600/19800) [Region:144, Point:213] 已用: 1.4s, 剩余: 1.9s
进度: 43.9394% (8700/19800) [Region:33, Point:1318] 已用: 1.5s, 剩余: 1.9s
进度: 44.4444% (8800/19800) [Region:106, Point:3600] 已用: 1.5s, 剩余: 1.8s
进度: 44.9495% (8900/19800) [Region:33, Point:1325] 已用: 1.5s, 剩余: 1.8s
进度: 45.4545% (9000/19800) [Region:121, Point:2774] 已用: 1.5s, 剩余: 1.8s
进度: 45.9596% (9100/19800) [Region:143, Point:1506] 已用: 1.5s, 剩余: 1.8s
进度: 46.4646% (9200/19800) [Region:111, Point:2610] 已用: 1.6s, 剩余: 1.8s
进度: 46.9697% (9300/19800) [Region:111, Point:816] 已用: 1.6s, 剩余: 1.8s
进度: 47.4747% (9400/19800) [Region:131, Point:3435] 已用: 1.6s, 剩余: 1.7s
进度: 47.9798% (9500/19800) [Region:131, Point:3893] 已用: 1.6s, 剩余: 1.7s
进度: 48.4848% (9600/19800) [Region:81, Point:1449] 已用: 1.6s, 剩余: 1.7s
进度: 48.9899% (9700/19800) [Region:122, Point:535] 已用: 1.6s, 剩余: 1.7s
进度: 49.4949% (9800/19800) [Region:4, Point:302] 已用: 1.6s, 剩余: 1.7s
进度: 50.0000% (9900/19800) [Region:99, Point:237] 已用: 1.7s, 剩余: 1.7s
进度: 50.5051% (10000/19800) [Region:64, Point:837] 已用: 1.7s, 剩余: 1.6s
进度: 51.0101% (10100/19800) [Region:85, Point:3848] 已用: 1.7s, 剩余: 1.6s
进度: 51.5152% (10200/19800) [Region:99, Point:347] 已用: 1.8s, 剩余: 1.7s
进度: 52.0202% (10300/19800) [Region:85, Point:1290] 已用: 1.8s, 剩余: 1.7s
进度: 52.5253% (10400/19800) [Region:133, Point:307] 已用: 1.8s, 剩余: 1.6s
进度: 53.0303% (10500/19800) [Region:71, Point:2689] 已用: 1.8s, 剩余: 1.6s
进度: 53.5354% (10600/19800) [Region:1, Point:3844] 已用: 1.8s, 剩余: 1.6s
进度: 54.0404% (10700/19800) [Region:2, Point:1494] 已用: 1.9s, 剩余: 1.6s
进度: 54.5455% (10800/19800) [Region:5, Point:1714] 已用: 1.9s, 剩余: 1.6s
进度: 55.0505% (10900/19800) [Region:46, Point:499] 已用: 1.9s, 剩余: 1.6s
进度: 55.5556% (11000/19800) [Region:94, Point:20] 已用: 2.0s, 剩余: 1.6s
进度: 56.0606% (11100/19800) [Region:0, Point:3084] 已用: 2.0s, 剩余: 1.6s
进度: 56.5657% (11200/19800) [Region:2, Point:3613] 已用: 2.1s, 剩余: 1.6s
进度: 57.0707% (11300/19800) [Region:72, Point:980] 已用: 2.1s, 剩余: 1.6s
进度: 57.5758% (11400/19800) [Region:53, Point:1451] 已用: 2.1s, 剩余: 1.6s
进度: 58.0808% (11500/19800) [Region:73, Point:2707] 已用: 2.2s, 剩余: 1.6s
进度: 58.5859% (11600/19800) [Region:54, Point:2055] 已用: 2.2s, 剩余: 1.5s
进度: 59.0909% (11700/19800) [Region:165, Point:3959] 已用: 2.2s, 剩余: 1.5s
进度: 59.5960% (11800/19800) [Region:94, Point:18] 已用: 2.3s, 剩余: 1.5s
进度: 60.1010% (11900/19800) [Region:191, Point:1641] 已用: 2.3s, 剩余: 1.5s
进度: 60.6061% (12000/19800) [Region:191, Point:2898] 已用: 2.3s, 剩余: 1.5s
进度: 61.1111% (12100/19800) [Region:192, Point:847] 已用: 2.4s, 剩余: 1.5s
进度: 61.6162% (12200/19800) [Region:84, Point:1034] 已用: 2.5s, 剩余: 1.5s
进度: 62.1212% (12300/19800) [Region:188, Point:3102] 已用: 2.5s, 剩余: 1.5s
进度: 62.6263% (12400/19800) [Region:74, Point:3268] 已用: 2.5s, 剩余: 1.5s
进度: 63.1313% (12500/19800) [Region:46, Point:2942] 已用: 2.6s, 剩余: 1.5s
进度: 63.6364% (12600/19800) [Region:60, Point:3462] 已用: 2.6s, 剩余: 1.5s
进度: 64.1414% (12700/19800) [Region:107, Point:490] 已用: 2.7s, 剩余: 1.5s
进度: 64.6465% (12800/19800) [Region:60, Point:3619] 已用: 2.8s, 剩余: 1.5s
进度: 65.1515% (12900/19800) [Region:61, Point:2516] 已用: 2.8s, 剩余: 1.5s
进度: 65.6566% (13000/19800) [Region:59, Point:2835] 已用: 2.8s, 剩余: 1.5s
进度: 66.1616% (13100/19800) [Region:59, Point:740] 已用: 2.9s, 剩余: 1.5s
进度: 66.6667% (13200/19800) [Region:47, Point:2356] 已用: 2.9s, 剩余: 1.5s
进度: 67.1717% (13300/19800) [Region:78, Point:2642] 已用: 3.0s, 剩余: 1.5s
进度: 67.6768% (13400/19800) [Region:78, Point:2399] 已用: 3.0s, 剩余: 1.4s
