PointID,Region_0,Region_1,Region_2
0,1231.3801940957,223.5516137038,11445.2780145846
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,437.8883464441,7833.0779008451,8833.9345234025
6,0.1493583963,7395.3766323129,8629.8694701513
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,4804.7354340583,1010.6339791429,10575.1941640571
19,0,0,0
20,0,0,0
21,5918.7727774829,1795.0592050556,12043.3347578173
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
