PointID,Region_0,Region_1,Region_2
0,3697.6324054683,2095.6195718229,4900.3779517911
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,2288.3144404722,5825.8771828700,4157.7485067212
7,0,0,0
8,1073.6630533752,6296.8139977374,1255.4959501630
9,247.7844450570,2787.1891502834,1432.9949632156
10,0,0,0
11,2536.7215141819,4167.7057325588,1086.4726110524
12,1376.7372951163,4285.0857698015,0.7859053572
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,3142.6164804329,3511.6230546496,2099.5854305475
35,0,0,0.0000000000
36,0,0,0
