PointID,Region_0,Region_1,Region_2
0,3147.3332069267,3896.7720225951,11445.2780145846
1,416.9279017061,3749.8838151041,9444.8641516214
2,0,0,0
3,0,0,0
4,2945.0581700589,8477.6338478844,9650.9413381550
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,943.6518010725,3178.1926582753,8064.8624874419
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
