PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29
0,Null,Null,Null,Null,Null,Null,Null,6459.5961565199,Null,Null,3378.7620565938,Null,Null,Null,Null,Null,Null,6434.9193631224,Null,Null,Null,Null,Null,3448.4291822089,Null,Null,Null,Null,Null,Null
1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,Null,Null,Null,Null,Null,Null,Null,7345.6040037549,Null,Null,2928.7651980629,Null,Null,Null,Null,Null,Null,9189.2915572599,Null,Null,Null,Null,Null,1889.7352633447,Null,Null,Null,Null,Null,Null
3,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,Null,Null,Null,Null,Null,Null,Null,5362.3316753168,Null,Null,5031.7932995494,Null,Null,Null,Null,Null,Null,9796.1402840680,Null,Null,9022.7579281535,Null,Null,3293.9697764645,Null,Null,Null,Null,Null,Null
5,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
6,11643.7406353965,Null,Null,Null,Null,Null,Null,6502.1361978018,Null,Null,6889.2238180148,Null,Null,Null,Null,Null,Null,Null,Null,Null,6624.9538420977,Null,Null,386.7916854000,Null,Null,Null,7483.1743339946,Null,Null
7,11246.8156827385,Null,Null,Null,Null,Null,Null,8658.6643795027,Null,Null,6131.2270759483,Null,Null,Null,Null,Null,Null,Null,Null,Null,8034.7573843469,Null,Null,269.2011739929,Null,Null,Null,5464.3040580365,Null,Null
8,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9,10370.7929828601,Null,Null,Null,Null,Null,Null,6692.3351158823,Null,Null,7978.4421594565,Null,Null,Null,Null,Null,Null,Null,Null,Null,5781.4258323006,Null,Null,36.3149019852,Null,Null,Null,7653.9817381716,Null,Null
10,Null,Null,Null,Null,Null,Null,Null,7207.6571886982,Null,Null,3937.6306008063,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,733.6510620510,Null,Null,Null,8217.0265234176,Null,Null
11,Null,Null,Null,Null,Null,Null,Null,8179.4940396417,Null,Null,2535.9650916409,Null,Null,Null,Null,Null,Null,5098.0304636882,Null,Null,Null,Null,Null,5715.0076634802,Null,Null,Null,Null,Null,Null
12,Null,Null,14598.5255675293,Null,Null,1160.9746712438,Null,Null,Null,Null,Null,Null,Null,Null,Null,626.7825314760,Null,Null,Null,Null,Null,Null,13703.4308494123,Null,Null,Null,Null,Null,Null,Null
