PointID,Region_0,Region_1,Region_2
0,5435.0671728152,3896.7720225951,8683.7443542075
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,2409.4469217619,11542.0505775624,1231.0985653966
4,NaN,NaN,NaN
5,349.4694467295,8948.0348282849,4594.0235788294
6,0.1493583963,8511.1109373060,4418.7760888727
7,NaN,NaN,NaN
8,995.7763189076,9737.7650939892,31.7316650089
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,3310.0886610995,7731.4166714878,868.2596103493
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,0.0000000000,NaN,NaN
32,NaN,0.0000000000,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,0.0000000000
36,NaN,NaN,NaN
