PointID,Region_0,Region_1,Region_2
0,NaN,NaN,NaN
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,595.7559621102,8082.8440730946,5450.6481498896
5,251.2282844456,8223.1669434495,4594.0235788294
6,96.3352223052,7789.0672949439,4418.7760888727
7,NaN,NaN,NaN
8,1073.6630533752,7501.1653041858,888.8366412034
9,22.0640755861,4373.7428568022,2931.2637872711
10,3577.5446985235,4873.3345122805,4398.1276310643
11,NaN,NaN,NaN
12,2561.9478132749,5384.5913515172,868.2596103493
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,2769.7977082177,7360.6498763277,84.9432095895
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,9857.6671211248,4115.8109318373,9064.8698437852
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,6453.1387470462,9781.5832261024,3034.3717310897
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,0.0000000000,NaN,NaN
32,NaN,0.0000000000,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,0.0000000000
36,NaN,NaN,NaN
