InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,false,true,1,0.430,243189.4954,0.9782,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,false,true,2,0.415,-1.0000,-1.0000,false,12,-1,4
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,true,1,1.969,243189.4954,0.9782,true,-1,38,0
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,true,2,1.538,243189.4954,0.9074,true,-1,38,0
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,false,2.00,4.00,false,false,true,1,1.750,266326.0242,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,false,2.00,4.00,false,false,true,2,1.847,263921.9908,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,false,2.00,4.00,false,true,true,1,8.584,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,false,2.00,4.00,false,true,true,2,8.939,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,false,true,1,0.559,-1.0000,-1.0000,false,12,-1,4
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,false,true,2,0.351,248209.4660,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,true,true,1,2.538,243189.4954,0.9782,true,-1,39,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,true,true,2,4.333,248209.4660,1.0000,true,-1,53,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,false,2.00,4.00,false,false,true,1,17.088,268338.2134,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,false,2.00,4.00,false,false,true,2,2.238,268338.2134,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,false,2.00,4.00,false,true,true,1,13.013,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,false,2.00,4.00,false,true,true,2,9.683,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,false,true,1,0.672,248209.4660,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,false,true,2,0.473,-1.0000,-1.0000,false,12,-1,4
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,true,true,1,3.325,243189.4954,0.9782,true,-1,39,0
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,true,true,2,11.465,248209.4660,1.0000,true,-1,54,0
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,false,2.00,4.00,false,false,true,1,2.028,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,false,2.00,4.00,false,false,true,2,1.870,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,false,2.00,4.00,false,true,true,1,10.168,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,false,2.00,4.00,false,true,true,2,14.682,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,false,true,1,1.237,252615.1415,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,false,true,2,0.957,250085.3953,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,true,true,1,13.479,248209.4660,1.0000,true,-1,65,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,true,true,2,12.155,248209.4660,1.0000,true,-1,65,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,false,2.00,4.00,false,false,true,1,0.180,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,false,2.00,4.00,false,false,true,2,0.133,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,false,2.00,4.00,false,true,true,1,14.910,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,false,2.00,4.00,false,true,true,2,15.814,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,false,true,1,0.155,210334.2961,0.9984,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,false,true,2,0.178,268026.8437,0.9944,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,true,1,0.205,210334.2961,0.9984,true,-1,21,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,true,2,0.665,268026.8437,0.9944,true,-1,7,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,false,2.00,4.00,false,false,true,1,5.794,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,false,2.00,4.00,false,false,true,2,0.937,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,false,2.00,4.00,false,true,true,1,10.173,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,false,2.00,4.00,false,true,true,2,21.038,295365.2972,1.0000,true,-1,8,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,false,true,1,0.071,210334.2961,0.9984,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,false,true,2,0.146,268843.1925,0.9998,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,true,true,1,0.130,210334.2961,0.9984,true,-1,21,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,true,true,2,0.326,268026.8437,0.9944,true,-1,7,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,false,2.00,4.00,false,false,true,1,2.224,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,false,2.00,4.00,false,false,true,2,0.599,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,false,2.00,4.00,false,true,true,1,9.655,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,false,2.00,4.00,false,true,true,2,27.031,-1.0000,-1.0000,false,-1,100,3
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,false,true,1,2.208,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,false,true,2,0.228,280583.0909,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,true,true,1,0.115,210334.2961,0.9984,true,-1,21,0
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,true,true,2,0.290,268026.8437,0.9944,true,-1,7,0
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,false,2.00,4.00,false,false,true,1,0.099,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,false,2.00,4.00,false,false,true,2,0.100,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,false,2.00,4.00,false,true,true,1,5.701,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,false,2.00,4.00,false,true,true,2,8.727,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.00,0.00,false,false,true,1,1.655,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.00,0.00,false,false,true,2,0.390,280583.0909,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.00,0.00,false,true,true,1,2.719,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.00,0.00,false,true,true,2,4.738,280583.0909,1.0000,true,-1,7,0
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,false,2.00,4.00,false,false,true,1,0.065,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,false,2.00,4.00,false,false,true,2,0.075,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,false,2.00,4.00,false,true,true,1,5.807,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,false,2.00,4.00,false,true,true,2,10.608,-1.0000,-1.0000,false,-1,100,2
