PointID,Region_0,Region_1,Region_2
0,5764.4404417610,3896.7720225951,8963.9782258016
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,2760.9111094059,8511.1109373060,7776.6595872057
7,0,0,0
8,0,0,0
9,866.3907873196,5680.5074668524,5082.3625289563
10,0,0,0
11,7249.2457703821,7665.1812732596,3732.5761062856
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,11401.3308580916,6183.5411478090,6984.9265670149
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
