PointID,Region_0,Region_1,Region_2
0,5809.4551720207,3573.6697761528,11445.2780145846
1,0,0,0
2,0,0,0
3,0,0,0
4,499.5700982013,7239.2406368720,9650.9413381550
5,251.2282844456,7486.9485501899,8833.9345234025
6,0.1493583963,7065.7001753135,8629.8694701513
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,11693.4782514538,487.3504503271,10304.6201301288
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,10986.7899517486,5360.1016267493,9550.1819514624
29,0,0,0
30,0,0,0
31,0.0000000000,4169.3908223213,7664.5780482615
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
