PointID,Region_0,Region_1,Region_2
0,5764.4404417610,3573.6697761528,6985.8158683898
1,0,0,0
2,0,0,0
3,0,0,0
4,595.7559621102,7239.2406368720,6262.7271062106
5,251.2282844456,7486.9485501899,5633.6750179979
6,96.3352223052,7065.7001753135,5347.9039392191
7,0,0,0
8,0,0,0
9,22.0640755861,4026.6958936162,2661.5050130461
10,0,0,0
11,4808.2626138978,3618.9305711708,2949.2048033203
12,2561.9478132749,5153.0872502745,2479.8817247970
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,8576.6534806683,5360.1016267493,5290.8868278404
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
