PointID,Region_0,Region_1,Region_2
0,891.4377893985,223.5516137038,5358.1329970740
1,0,0,0
2,3570.5907016866,3519.2171444619,1235.2823905025
3,0,0,0
4,0,0,0
5,431.7892681617,5908.9219388103,4747.2605182809
6,0.1493583963,5485.0489932392,4491.0197323238
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,2335.8146170348,343.6473196338,4605.5059278632
19,4583.8276321677,8002.6394078219,2308.9176234245
20,0,0,0
21,3839.3454215682,1362.1661921393,5243.7205194559
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,2711.0965839695,2410.8438660387,3238.0956330353
35,0,0,0.0000000000
36,0,0,0
