序号,经度,纬度
2523,114.176544804011440,22.708835367244280
1153,116.516560373082640,39.911304206905530
2560,113.158006000000000,23.466987000000000
885,114.697743000000000,23.770508000000000
3266,113.082836333333320,22.570099833333330
1126,113.626277651299700,23.041262231263783
2744,113.596090624998000,22.254484367893653
2987,112.923254914155400,23.044103797781730
3941,114.425368085235800,23.085071730521200
3677,113.509687829293000,22.662034000634640
267,114.026602831544320,23.071092518055560
970,113.894493999999970,22.485130998460110
1754,113.274740550646920,22.928564724990870
2534,113.498397000000000,23.433204000000000
1406,113.835627382663700,22.793126902941392
3879,113.338942000000000,22.407067000000000
3024,113.297679528752440,23.208394483678050
1161,116.326413081377420,39.693124265455260
3594,113.271434679980710,22.708722558025860
3796,113.493590974115600,22.868683854400120
3209,113.819761242910840,23.125906215466184
3895,113.133827104204880,23.076293485288510
1528,113.546458000000000,22.449240000000000
794,114.385377962683400,22.709193698559860
1091,114.096323148283940,22.884965819874810
595,114.089103333694200,22.539080036199920
1968,113.418448914495930,23.057733216882310
511,113.989834169908400,22.685941550100843
265,113.884223083243980,22.958836822576465
159,113.675958305167460,22.878814400020590
3213,113.306324992676320,23.375416758891810
2038,113.368259881130540,22.571020950053786
2519,113.490852325788080,23.197441763952470
3690,113.834785196674940,22.644767527200950
3759,113.111009610946540,23.222386470688328
3876,113.442837000000000,22.294191000000000
2617,113.223582733433800,22.545496040584800
1715,113.606572985447040,22.757269187892410
3538,113.398242396175360,22.773985569231296
3761,113.975704017965480,22.813571816139650
2653,113.273033467344280,23.080527216634064
294,113.753810061429800,22.996136072941150
3359,114.217549256318850,22.831963035393420
3989,113.621349821688280,23.164091211437643
2514,113.013260819374760,23.130339196276346
2632,113.038516690680520,22.989108609630850
2087,113.219101825613360,22.821667985997240
1187,114.141094460109730,23.029115863842450
1411,114.199854549139720,22.597710850005760
2344,113.402240424992240,22.946129929950550
3479,113.575288499328640,22.557974276192464
526,113.969321096153080,22.576575646667987
2663,114.003302955997580,22.951696116871663
3396,113.627347451855090,22.357590456697010
2470,113.153153960652300,23.360248481863007
1400,113.718626106722340,22.779180975671927
3172,114.092225121725420,22.776872137844530
1909,113.508387316129360,22.978462794772380
1004,114.280155035478800,22.746722628512570
2489,113.452271132846700,22.502324228942930
3268,113.454156453764640,22.394906987015105
2925,113.214377202782900,23.274440143450576
2911,113.199772970258040,23.162477934628450
3072,113.905902468271400,23.063516025806027
3015,113.368284253660960,23.293584639786378
2875,113.714899842022720,23.104675067500903
1278,114.091147540551840,22.650734602639503
3394,113.371894348060300,22.677951258584272
3280,113.181030000000000,22.658171000000000
2563,113.349079335446670,22.860373976356243
2838,113.392794972947240,23.150399459454530
1805,113.502897762138280,22.757580879045104
2873,113.772683000000000,22.905933000000000
1144,113.900846221074200,22.723007253093765
3006,113.413236538461520,23.389325307692310
2799,113.335518365559340,23.012403481191950
322,113.886332792699600,22.871007093102463
1579,113.291423376279550,22.621485707049903
2589,113.297701000000000,22.485308000000000
2585,113.132232625000000,22.988551062500000
2581,113.508252493689440,23.114595563973910
2697,113.863580000000000,22.564713000000000
1084,113.792597375996700,22.718997246278640
2659,113.239087241002500,23.428943210186063
158,113.671573666666670,22.965606666666663
2692,113.528639412340240,22.310171558891000
3948,113.217597382924440,23.018831358599490
1461,113.493674000000000,22.230210000000000
3397,114.251557545225880,22.670122886169484
1362,113.822937716918160,23.042924534375835
2834,113.303880000000000,22.793743000000000
2380,113.487532578723470,22.570699299357152
2325,113.556395229308440,22.820576683093687
3923,113.588243925231200,22.965001036516185
1669,113.110436256210400,23.147990224082360
419,114.077541299507080,22.981058408007986
2706,113.047610293535090,23.062857606506075
3281,113.232083109717800,23.345615715801028
3192,113.548839870050140,23.052388360633840
3631,113.964447155512360,23.113920070103110
