序号,经度,纬度
31,113.678871600000000,22.820850960000000
96,114.104844700000000,23.020941790000000
79,113.823321500000000,23.116169690000000
44,113.865289000000000,22.908140000000000
90,113.718094100000000,22.983908500000000
9,113.957205800000000,23.030284850000000
53,113.796483000000000,22.786426000000000
50,113.843294200000000,23.014940540000000
74,113.968108300000000,22.930555170000000
89,113.729144500000000,23.086643900000000
70,114.024116800000000,23.071120690000000
34,113.664846500000000,22.930218240000000
97,114.035766700000000,22.965125170000000
82,113.777189900000000,23.035934060000000
76,113.902129600000000,22.982388130000000
28,113.684929000000000,22.760984000000000
85,113.745439000000000,22.822136000000000
42,113.886391200000000,23.113734820000000
98,114.034039500000000,23.014878290000000
43,113.869771000000000,23.057036320000000
