PointID,Region_0,Region_1,Region_2
0,NaN,NaN,NaN
1,NaN,NaN,NaN
2,6280.2271344543,5931.7740897717,4221.5483839229
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,437.8883464441,7836.2511313179,6959.7464865956
6,0.1493583963,7398.5498627857,6718.6484280389
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,5407.2644108569,8714.7525883522,1252.6527535431
17,NaN,NaN,NaN
18,4804.7354340583,1868.0467705685,7510.8214327982
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,5918.7727774829,1791.8859745828,8130.5704034479
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,1942.6425207145,142.4551001247,8142.2867685588
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,0.0000000000,NaN,NaN
32,NaN,0.0000000000,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,0.0000000000
36,NaN,NaN,NaN
