InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations
GG100-6-1.dat,100,6,0.125,0.3,0.1,1000,false,2.00,4.00,false,false,1000.727,-1.0000,-1.0000,false,9,-1
GG100-6-1.dat,100,6,0.125,0.3,0.1,1000,false,2.00,4.00,false,true,48.171,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.5,0.4,1000,true,0.00,0.00,false,false,1.096,16538.3317,0.9890,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.5,0.4,1000,true,0.00,0.00,false,true,0.534,16521.0650,0.9630,true,-1,7
GG100-6-1.dat,100,6,0.250,0.5,0.4,1000,false,2.00,4.00,false,false,2.000,16857.2458,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.5,0.4,1000,false,2.00,4.00,false,true,52.327,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.5,0.3,1000,true,0.00,0.00,false,false,2.511,16618.6303,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.5,0.3,1000,true,0.00,0.00,false,true,0.561,16521.0650,0.9630,true,-1,7
GG100-6-1.dat,100,6,0.250,0.5,0.3,1000,false,2.00,4.00,false,false,2.724,16938.3788,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.5,0.3,1000,false,2.00,4.00,false,true,52.073,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.5,0.2,1000,true,0.00,0.00,false,false,1.515,16618.6303,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.5,0.2,1000,true,0.00,0.00,false,true,5.170,16538.3317,0.9890,true,-1,35
GG100-6-1.dat,100,6,0.250,0.5,0.2,1000,false,2.00,4.00,false,false,44.039,15873.8695,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.5,0.2,1000,false,2.00,4.00,false,true,54.761,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.5,0.1,1000,true,0.00,0.00,false,false,1.974,16857.2458,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.5,0.1,1000,true,0.00,0.00,false,true,52.133,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.5,0.1,1000,false,2.00,4.00,false,false,1000.456,-1.0000,-1.0000,false,9,-1
GG100-6-1.dat,100,6,0.250,0.5,0.1,1000,false,2.00,4.00,false,true,61.666,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.4,0.4,1000,true,0.00,0.00,false,false,1.887,16803.8822,0.9960,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.4,0.4,1000,true,0.00,0.00,false,true,57.470,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.4,0.4,1000,false,2.00,4.00,false,false,7.989,17137.3228,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.4,0.4,1000,false,2.00,4.00,false,true,58.623,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.4,0.3,1000,true,0.00,0.00,false,false,1.446,16803.8822,0.9960,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.4,0.3,1000,true,0.00,0.00,false,true,57.502,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.4,0.3,1000,false,2.00,4.00,false,false,10.123,15873.8695,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.4,0.3,1000,false,2.00,4.00,false,true,57.910,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.4,0.2,1000,true,0.00,0.00,false,false,2.429,16874.0720,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.4,0.2,1000,true,0.00,0.00,false,true,57.333,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.4,0.2,1000,false,2.00,4.00,false,false,1001.593,-1.0000,-1.0000,false,9,-1
GG100-6-1.dat,100,6,0.250,0.4,0.2,1000,false,2.00,4.00,false,true,90.700,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.4,0.1,1000,true,0.00,0.00,false,false,1.660,16975.3642,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.4,0.1,1000,true,0.00,0.00,false,true,85.485,-1.0000,-1.0000,false,-1,500
