InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations
GG20-3-1.dat,20,3,0.125,0.1,0.2,1000,false,2.00,4.00,false,false,0.079,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.1,0.2,1000,false,2.00,4.00,false,true,3.212,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.6,1000,true,0.00,0.00,false,false,0.293,3956.3767,0.9760,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.6,1000,true,0.00,0.00,false,true,0.180,3676.9134,0.1250,true,-1,3
GG20-3-1.dat,20,3,0.250,0.4,0.6,1000,false,2.00,4.00,false,false,9.485,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.6,1000,false,2.00,4.00,false,true,4.813,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,false,0.289,4184.0750,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,true,0.287,3813.7005,0.0010,true,-1,4
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,false,0.210,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,true,3.470,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,false,0.225,4184.0750,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,true,0.160,3813.7005,0.0010,true,-1,4
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,false,0.165,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,true,3.380,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.6,1000,true,0.00,0.00,false,false,0.185,4184.0750,0.9930,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.6,1000,true,0.00,0.00,false,true,0.145,3620.0573,0.0020,true,-1,1
GG20-3-1.dat,20,3,0.250,0.3,0.6,1000,false,2.00,4.00,false,false,0.175,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.6,1000,false,2.00,4.00,false,true,3.201,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,false,0.189,4184.0750,0.9930,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,true,0.146,3620.0573,0.0020,true,-1,1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,false,0.160,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,true,3.239,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,false,0.227,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,true,3.260,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,false,2.00,4.00,false,false,0.156,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,false,2.00,4.00,false,true,3.121,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.2,0.6,1000,true,0.00,0.00,false,false,1.122,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.2,0.6,1000,true,0.00,0.00,false,true,0.150,3620.0573,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.250,0.2,0.6,1000,false,2.00,4.00,false,false,0.161,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.2,0.6,1000,false,2.00,4.00,false,true,3.335,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.2,0.4,1000,true,0.00,0.00,false,false,0.181,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.2,0.4,1000,true,0.00,0.00,false,true,3.219,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.2,0.4,1000,false,2.00,4.00,false,false,0.194,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.2,0.4,1000,false,2.00,4.00,false,true,3.269,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.2,0.2,1000,true,0.00,0.00,false,false,0.161,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.2,0.2,1000,true,0.00,0.00,false,true,3.090,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.2,0.2,1000,false,2.00,4.00,false,false,0.150,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.2,0.2,1000,false,2.00,4.00,false,true,2.963,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.1,0.6,1000,true,0.00,0.00,false,false,0.145,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.1,0.6,1000,true,0.00,0.00,false,true,0.145,3614.2918,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.250,0.1,0.6,1000,false,2.00,4.00,false,false,0.145,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.1,0.6,1000,false,2.00,4.00,false,true,3.296,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.1,0.4,1000,true,0.00,0.00,false,false,0.150,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.1,0.4,1000,true,0.00,0.00,false,true,0.150,3614.2918,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.250,0.1,0.4,1000,false,2.00,4.00,false,false,0.141,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.1,0.4,1000,false,2.00,4.00,false,true,3.355,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.1,0.2,1000,true,0.00,0.00,false,false,0.145,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.1,0.2,1000,true,0.00,0.00,false,true,3.164,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.1,0.2,1000,false,2.00,4.00,false,false,0.145,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.1,0.2,1000,false,2.00,4.00,false,true,3.140,-1.0000,-1.0000,false,-1,-1
