InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.00,0.00,false,true,false,0.866,4184.0750,1.0000,true,-1,50
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,false,2.00,4.00,false,false,false,0.130,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,false,2.00,4.00,false,true,false,3.707,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,false,false,0.160,3884.9767,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,true,false,0.140,3690.7328,0.9520,true,-1,4
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,false,2.00,4.00,false,false,false,17.587,8472.4145,1.0000,true,3,-1
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,false,2.00,4.00,false,true,false,4.088,4233.0451,1.0000,true,-1,22
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,false,false,0.165,3884.9767,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,true,false,0.163,3884.9767,1.0000,true,-1,6
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,false,2.00,4.00,false,false,false,0.391,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,false,2.00,4.00,false,true,false,3.250,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.00,0.00,false,false,false,0.777,4233.0451,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.00,0.00,false,true,false,0.150,3884.9767,1.0000,true,-1,6
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,false,2.00,4.00,false,false,false,0.160,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,false,2.00,4.00,false,true,false,3.250,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,false,false,1.832,4804.7897,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,true,false,4.445,4233.0451,1.0000,true,-1,22
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,false,2.00,4.00,false,false,false,0.153,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,false,2.00,4.00,false,true,false,3.485,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,false,false,0.876,4233.0451,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,true,false,0.156,3884.9767,0.9880,true,-1,6
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,false,false,0.180,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,true,false,3.274,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,false,false,0.401,4233.0451,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,true,false,0.155,3884.9767,0.9880,true,-1,6
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,false,2.00,4.00,false,false,false,0.160,-1.0000,-1.0000,false,3,-1
