InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,ExactMethodType,UseImprovedModel,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.147,3690.7328,1.0000,true,-1,4,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.111,3690.7328,1.0000,true,-1,4,0
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.104,3690.7328,1.0000,true,-1,4,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.089,3690.7328,1.0000,true,-1,4,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.094,3884.9767,1.0000,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.094,3884.9767,1.0000,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.093,3884.9767,1.0000,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.094,3884.9767,1.0000,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.106,3884.9767,0.9936,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.123,3884.9767,0.9936,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.095,3884.9767,0.9936,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.642,4184.0750,1.0000,true,-1,50,0
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.138,3690.7328,0.9666,true,-1,4,0
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.139,3690.7328,0.9666,true,-1,4,0
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.136,3884.9767,1.0000,true,-1,6,0
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.343,4109.9618,1.0000,true,-1,8,0
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.139,3884.9767,0.9940,true,-1,6,0
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.136,3884.9767,0.9940,true,-1,6,0
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,0.151,3884.9767,0.9940,true,-1,6,0
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,2.889,4233.0451,1.0000,true,-1,22,0
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,2.852,4233.0451,0.9942,true,-1,22,0
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,2.851,4233.0451,0.9942,true,-1,22,0
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,2.838,4233.0451,0.9942,true,-1,22,0
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,true,0.00,0.00,false,true,0,false,3,-1.0000,2.329,-1.0000,-1.0000,false,-1,100,2
